year,total_hours,scarcity_hours,annual_peak_mw,avg_load_mw,scarcity_hours_pct,renewable_pct
2015,8759,176,69620.40761393859,39669.111992605154,2.01,10.299166666666666
2016,8783,171,71092.60922093941,40006.3576687709,1.95,13.186749999999998
2017,8761,242,69496.239761,40781.91541838708,2.76,15.831916666666666
2018,8760,237,73308.153447,42949.24781764509,2.71,16.976833333333335
2019,8760,222,74665.579486,43817.92797710514,2.53,18.704333333333334
2020,8784,229,74327.836839,43463.06917091792,2.61,21.880750000000003
2021,8760,330,73650.57348,44828.81438730742,3.77,24.660833333333333
2022,8760,343,80037.836007,49073.59178875479,3.92,26.959166666666665
2023,8760,400,85464.116394,50747.59804808413,4.57,28.216583333333332
2024,8784,279,85198.85005,52537.76090328643,3.18,30.212666666666667
